,Position,Velocity,Torque,Current
0,1998414.0,0.0,-4.8,0.0
1,1998414.0,0.0,-5.44,0.0
2,1998414.0,0.0,-5.76,0.0
3,1998414.0,0.0,-5.44,0.0
4,1998414.0,0.0,-5.44,8.8
5,1998414.0,0.0,-5.12,46.2
6,1998415.0,250.0,-2.88,117.7
7,1998416.0,500.0,-0.64,227.7
8,1998419.0,1250.0,1.6,371.8
9,1998425.0,2750.0,5.44,547.8
10,1998434.0,4750.0,7.36,760.1
11,1998447.0,7750.0,11.2,1003.2
12,1998465.0,11500.0,15.36,1276.0
13,1998489.0,16000.0,20.16,1581.8
14,1998521.0,21750.0,25.28,1905.2
15,1998561.0,28500.0,30.08,2228.6
16,1998608.0,35750.0,35.52,2545.4
17,1998666.0,44250.0,39.04,2849.0
18,1998732.0,52750.0,40.0,3143.8
19,1998810.0,62250.0,42.56,3425.4
20,1998904.0,74000.0,45.44,3690.5
21,1999020.0,88500.0,45.44,3930.3
22,1999161.0,107250.0,46.72,4142.6
23,1999325.0,128750.0,44.8,4330.7
24,1999510.0,151500.0,42.88,4494.6
25,1999717.0,174250.0,40.96,4634.3
26,1999944.0,195750.0,36.8,4752.0
27,2000188.0,215750.0,35.2,4852.1
28,2000448.0,234500.0,33.6,4933.5
29,2000722.0,251250.0,32.0,4999.5
30,2001007.0,265750.0,30.72,5054.5
31,2001303.0,278750.0,29.44,5096.3
32,2001609.0,290250.0,27.52,5127.1
33,2001919.0,299250.0,26.56,5153.5
34,2002236.0,307250.0,22.4,5173.3
35,2002554.0,312750.0,21.76,5190.9
36,2002877.0,317000.0,21.76,5203.0
37,2003202.0,320750.0,21.12,5214.0
38,2003529.0,323250.0,21.76,5221.7
39,2003856.0,325500.0,22.08,5229.4
40,2004189.0,328000.0,21.76,5230.5
41,2004522.0,330000.0,22.4,5232.7
42,2004859.0,332500.0,17.92,5229.4
43,2005199.0,335750.0,17.6,5222.8
44,2005539.0,337500.0,17.6,5217.3
45,2005883.0,340250.0,17.6,5206.3
46,2006229.0,342500.0,17.92,5193.1
47,2006574.0,343750.0,18.24,5181.0
48,2006922.0,345750.0,18.24,5166.7
49,2007271.0,347000.0,18.56,5150.2
50,2007621.0,348000.0,16.0,5132.6
51,2007967.0,348250.0,15.04,5120.5
52,2008316.0,348500.0,15.36,5104.0
53,2008662.0,347750.0,15.68,5090.8
54,2009003.0,345500.0,16.32,5083.1
55,2009343.0,344000.0,16.64,5077.6
56,2009681.0,341250.0,17.28,5073.2
57,2010014.0,338000.0,17.6,5074.3
58,2010350.0,336750.0,17.92,5073.2
59,2010684.0,335250.0,16.32,5073.2
60,2011017.0,334000.0,16.0,5074.3
61,2011352.0,334500.0,16.32,5073.2
62,2011684.0,333500.0,16.32,5076.5
63,2012019.0,333750.0,16.0,5075.4
64,2012352.0,333750.0,15.68,5076.5
65,2012684.0,333000.0,15.36,5079.8
66,2013014.0,332500.0,16.0,5084.2
67,2013340.0,330250.0,15.04,5093.0
68,2013666.0,328500.0,14.4,5101.8
69,2013987.0,325750.0,15.04,5117.2
70,2014309.0,323750.0,15.36,5130.4
71,2014626.0,321500.0,16.0,5149.1
72,2014946.0,320000.0,16.0,5165.6
73,2015263.0,319000.0,16.32,5184.3
74,2015584.0,318750.0,16.64,5198.6
75,2015904.0,319500.0,17.6,5214.0
76,2016229.0,320750.0,16.64,5225.0
77,2016552.0,322250.0,16.96,5237.1
78,2016878.0,323500.0,17.28,5245.9
79,2017206.0,325500.0,16.96,5253.6
80,2017535.0,326500.0,16.32,5259.1
81,2017865.0,328250.0,16.32,5263.5
82,2018193.0,328750.0,16.0,5271.2
83,2018524.0,329500.0,18.88,5274.5
84,2018853.0,329500.0,18.24,5280.0
85,2019183.0,329500.0,18.24,5284.4
86,2019510.0,329250.0,18.88,5293.2
87,2019836.0,328000.0,18.56,5302.0
88,2020161.0,327000.0,18.88,5311.9
89,2020483.0,325000.0,18.88,5326.2
90,2020807.0,324250.0,18.56,5337.2
91,2021131.0,323750.0,21.44,5348.2
92,2021458.0,324250.0,21.12,5355.9
93,2021786.0,325750.0,19.52,5363.6
94,2022118.0,327750.0,19.84,5365.8
95,2022453.0,330500.0,18.88,5364.7
96,2022790.0,333000.0,17.28,5362.5
97,2023130.0,336000.0,16.64,5355.9
98,2023471.0,338250.0,15.36,5348.2
99,2023812.0,339750.0,16.96,5340.5
100,2024154.0,341000.0,16.64,5332.8
101,2024496.0,341500.0,15.04,5324.0
102,2024836.0,341250.0,14.72,5317.4
103,2025176.0,341000.0,14.4,5311.9
104,2025514.0,340000.0,14.4,5307.5
105,2025852.0,339000.0,14.4,5303.1
106,2026192.0,339000.0,14.08,5296.5
107,2026527.0,337750.0,14.72,5296.5
108,2026866.0,338000.0,15.04,5291.0
109,2027205.0,338250.0,14.72,5285.5
110,2027543.0,337750.0,14.4,5282.2
111,2027883.0,339000.0,14.72,5275.6
112,2028222.0,339000.0,15.04,5270.1
113,2028561.0,339000.0,15.36,5264.6
114,2028899.0,339000.0,15.36,5261.3
115,2029237.0,338500.0,15.68,5256.9
116,2029574.0,338000.0,15.68,5253.6
117,2029910.0,337250.0,16.32,5252.5
118,2030241.0,335500.0,16.0,5255.8
119,2030572.0,333750.0,16.96,5259.1
120,2030900.0,331500.0,17.6,5265.7
121,2031226.0,329000.0,18.56,5275.6
122,2031551.0,327500.0,19.2,5285.5
123,2031874.0,325500.0,18.24,5297.6
124,2032198.0,324500.0,19.2,5309.7
125,2032523.0,324250.0,19.52,5319.6
126,2032851.0,325000.0,18.88,5326.2
127,2033179.0,326250.0,18.88,5332.8
128,2033510.0,328000.0,19.2,5337.2
129,2033841.0,329500.0,19.2,5340.5
130,2034173.0,330500.0,18.88,5342.7
131,2034506.0,331750.0,19.52,5344.9
132,2034835.0,331250.0,16.32,5350.4
133,2035167.0,331500.0,17.28,5352.6
134,2035494.0,330250.0,16.96,5360.3
135,2035822.0,329000.0,17.28,5368.0
136,2036148.0,328250.0,18.56,5376.8
137,2036473.0,326500.0,19.52,5386.7
138,2036799.0,326250.0,20.16,5396.6
139,2037125.0,325750.0,20.16,5405.4
140,2037454.0,326500.0,16.96,5410.9
141,2037781.0,327000.0,18.56,5418.6
142,2038115.0,329000.0,18.24,5419.7
143,2038449.0,331000.0,17.6,5419.7
144,2038786.0,333000.0,18.56,5416.4
145,2039127.0,336500.0,19.2,5409.8
146,2039466.0,337750.0,19.2,5404.3
147,2039811.0,340500.0,18.88,5392.2
148,2040156.0,342500.0,16.32,5380.1
149,2040501.0,343500.0,16.96,5369.1
150,2040846.0,345000.0,17.28,5357.0
151,2041192.0,345250.0,16.64,5343.8
152,2041537.0,345250.0,17.28,5332.8
153,2041878.0,344250.0,17.6,5325.1
154,2042219.0,343250.0,17.6,5317.4
155,2042558.0,341500.0,17.6,5311.9
156,2042895.0,339500.0,16.32,5309.7
157,2043232.0,338500.0,17.28,5306.4
158,2043569.0,337500.0,17.6,5303.1
159,2043907.0,337250.0,16.96,5299.8
160,2044247.0,338000.0,16.64,5293.2
161,2044584.0,338000.0,16.64,5289.9
162,2044924.0,338750.0,16.0,5283.3
163,2045263.0,339000.0,15.68,5278.9
164,2045596.0,337250.0,14.72,5280.0
165,2045931.0,336750.0,15.04,5278.9
166,2046261.0,334250.0,15.36,5284.4
167,2046589.0,331500.0,15.36,5291.0
168,2046917.0,330250.0,15.04,5297.6
169,2047241.0,327500.0,15.36,5308.6
170,2047566.0,326250.0,15.68,5319.6
171,2047887.0,324500.0,16.0,5333.9
172,2048213.0,324000.0,16.32,5342.7
173,2048536.0,323750.0,16.96,5355.9
174,2048863.0,324250.0,17.6,5363.6
175,2049190.0,325750.0,17.92,5371.3
176,2049520.0,326750.0,16.64,5375.7
177,2049851.0,328750.0,16.32,5380.1
178,2050183.0,330000.0,16.0,5382.3
179,2050516.0,331500.0,16.32,5383.4
