,Position,Velocity,Torque,Current
0,462.0,0.0,0.96,0.0
1,461.0,-250.0,0.96,1.1
2,462.0,0.0,1.28,0.0
3,462.0,0.0,1.6,0.0
4,462.0,0.0,-0.32,0.0
5,462.0,250.0,0.0,0.0
6,462.0,0.0,0.0,8.8
7,462.0,0.0,0.32,46.2
8,462.0,0.0,2.88,118.8
9,463.0,250.0,5.44,228.8
10,467.0,1250.0,8.0,371.8
11,472.0,2500.0,11.2,550.0
12,481.0,4750.0,13.12,761.2
13,494.0,7750.0,16.64,1004.3
14,512.0,11250.0,21.44,1278.2
15,536.0,16000.0,26.24,1584.0
16,569.0,22000.0,32.0,1906.3
17,611.0,29250.0,37.44,2228.6
18,663.0,37750.0,41.92,2538.8
19,731.0,48750.0,44.16,2832.5
20,814.0,61250.0,44.16,3108.6
21,920.0,77250.0,43.52,3360.5
22,1050.0,96750.0,42.88,3584.9
23,1205.0,118500.0,42.24,3782.9
24,1380.0,141500.0,41.28,3957.8
25,1573.0,163250.0,40.64,4114.0
26,1788.0,184500.0,38.4,4244.9
27,2019.0,203500.0,36.16,4359.3
28,2265.0,221250.0,34.56,4456.1
29,2523.0,237500.0,29.76,4540.8
30,2792.0,251000.0,28.48,4612.3
31,3071.0,263000.0,26.88,4673.9
32,3356.0,272750.0,26.56,4727.8
33,3650.0,281750.0,26.56,4772.9
34,3946.0,288500.0,26.24,4814.7
35,4248.0,294250.0,25.28,4851.0
36,4556.0,300000.0,24.32,4879.6
37,4866.0,304000.0,22.08,4907.1
38,5182.0,309000.0,20.8,4926.9
39,5501.0,313250.0,20.8,4944.5
40,5825.0,317250.0,20.48,4955.5
41,6150.0,321000.0,21.44,4966.5
42,6481.0,324750.0,21.44,4969.8
43,6812.0,327750.0,20.48,4974.2
44,7150.0,331250.0,20.8,4969.8
45,7490.0,335000.0,17.28,4964.3
46,7830.0,337250.0,16.32,4957.7
47,8174.0,340500.0,16.32,4947.8
48,8519.0,342250.0,16.64,4935.7
49,8860.0,342500.0,16.96,4929.1
50,9205.0,343750.0,17.28,4917.0
51,9547.0,343250.0,16.96,4909.3
52,9884.0,341250.0,17.28,4906.0
